date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:28:37	4599/4599	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:37	251/251	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://ajax.googleapis.com/ajax/libs/jqueryui/1.11.2/themes/smoothness/jquery-ui.css)
06:28:38	304296/304296	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619bd780-4a4a8%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Regular.eot	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Regular.eot	(from https://busdmatrix.io/styles/style.css)
06:28:39	304296/304296	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619bd780-4a4a8%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Regular.eot?	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Regulard41d.eot	(from https://busdmatrix.io/styles/style.css)
06:28:39	132276/132276	---M--	200	added ('OK')	font/woff	etag:%22619bd780-204b4%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Regular.woff	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Regular.woff	(from https://busdmatrix.io/styles/style.css)
06:28:39	245708/245708	---M--	200	added ('OK')	application/octet-stream	etag:%22619bd780-3bfcc%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Regular.ttf	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Regular.ttf	(from https://busdmatrix.io/styles/style.css)
06:28:40	302648/302648	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619bd780-49e38%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Bold.eot	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Bold.eot	(from https://busdmatrix.io/styles/style.css)
06:28:41	132532/132532	---M--	200	added ('OK')	font/woff	etag:%22619bd780-205b4%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Bold.woff	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Bold.woff	(from https://busdmatrix.io/styles/style.css)
06:28:41	302648/302648	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22619bd780-49e38%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Bold.eot?	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Boldd41d.eot	(from https://busdmatrix.io/styles/style.css)
06:28:41	100015/100015	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-186af%22	https://busdmatrix.io/social.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/social.svg	(from https://busdmatrix.io/styles/style.css)
06:28:42	244468/244468	---M--	200	added ('OK')	application/octet-stream	etag:%22619bd780-3baf4%22	https://busdmatrix.io/fonts/Montserrat/Montserrat-Bold.ttf	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/fonts/Montserrat/Montserrat-Bold.ttf	(from https://busdmatrix.io/styles/style.css)
06:28:42	153/153	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Dec%202021%2011:28:42%20GMT	https://busdmatrix.io/images/main_bg.jpg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/main_bg.jpg	(from https://busdmatrix.io/styles/style.css)
06:28:42	656/656	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-290%22	https://busdmatrix.io/images/plus.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/plus.svg	(from https://busdmatrix.io/styles/style.css)
06:28:42	1740/1740	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-6cc%22	https://busdmatrix.io/images/discord.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/discord.svg	(from https://busdmatrix.io/styles/style.css)
06:28:42	893/893	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-37d%22	https://busdmatrix.io/images/twitter.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/twitter.svg	(from https://busdmatrix.io/styles/style.css)
06:28:42	532/532	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-214%22	https://busdmatrix.io/images/telegram.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/telegram.svg	(from https://busdmatrix.io/styles/style.css)
06:28:43	777/777	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-309%22	https://busdmatrix.io/images/btn_arrow.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/btn_arrow.svg	(from https://busdmatrix.io/styles/style.css)
06:28:43	1056/1056	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-420%22	https://busdmatrix.io/images/X.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/X.svg	(from https://busdmatrix.io/styles/style.css)
06:28:43	905/905	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-389%22	https://busdmatrix.io/images/asc_img.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/asc_img.svg	(from https://busdmatrix.io/styles/style.css)
06:28:44	978/978	---M--	200	added ('OK')	image/png	etag:%22619bd780-3d2%22	https://busdmatrix.io/images/fox.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/fox.png	(from https://busdmatrix.io/styles/style.css)
06:28:44	915/915	---M--	200	added ('OK')	image/png	etag:%22619bd780-393%22	https://busdmatrix.io/images/binance.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/binance.png	(from https://busdmatrix.io/styles/style.css)
06:28:44	1109/1109	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22619bd780-455%22	https://busdmatrix.io/images/spinner.svg	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/spinner.svg	(from https://busdmatrix.io/styles/style.css)
06:28:44	435/435	---M--	200	added ('OK')	image/png	etag:%22619bd780-1b3%22	https://busdmatrix.io/images/copy.png	C:/Users/shonu/OneDrive/Documents/projects/NEWNEW/cloned/busdmatrix.io/images/copy.png	(from https://busdmatrix.io/styles/style.css)
